Date,Open,High,Low,Close,Adj Close,Volume
2019-05-10,42.000000,45.000000,41.060001,41.570000,41.570000,186322500
2019-05-13,38.790001,39.240002,36.080002,37.099998,37.099998,79442400
2019-05-14,38.310001,39.959999,36.849998,39.959999,39.959999,46661100
2019-05-15,39.369999,41.880001,38.950001,41.290001,41.290001,36086100
2019-05-16,41.480000,44.060001,41.250000,43.000000,43.000000,38115500
2019-05-17,41.980000,43.290001,41.270000,41.910000,41.910000,20225700
2019-05-20,41.189999,41.680000,39.459999,41.590000,41.590000,29222300
2019-05-21,42.000000,42.240002,41.250000,41.500000,41.500000,10802900
2019-05-22,41.049999,41.279999,40.500000,41.250000,41.250000,9089500
2019-05-23,40.799999,41.090000,40.020000,40.470001,40.470001,11119900
2019-05-24,41.279999,41.509998,40.500000,41.509998,41.509998,8786800
2019-05-28,41.700001,41.799999,40.599998,40.950001,40.950001,13391600
2019-05-29,40.520000,40.709999,39.146999,39.939999,39.939999,14031300
